Parameter Name,Value,Units
Draw Name,Pre1550_10,
Draw Date,2025-07-27 12:53:30.803809,
Entry Fiber Diameter,125.0,µm
First Coating Diameter (Theoretical),161.95877942130534,µm
Second Coating Diameter (Theoretical),231.96861169380566,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,300.0,µm
Second Coating Entry Die,500.0,µm
Primary Coating Temperature,44.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,202,µm
Secondary Die Diameter,310,µm
Preform Diameter,28.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
