Parameter Name,Value,Units
Draw Name,SBS08,
Draw Date,2026-01-29 11:31:25.987955,
Entry Fiber Diameter,125.0,µm
First Coating Diameter (Theoretical),161.95878223557185,µm
Second Coating Diameter (Theoretical),247.2543849558698,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,350.0,µm
Second Coating Entry Die,500.0,µm
Primary Coating Temperature,32.0,°C
Secondary Coating Temperature,32.0,°C
Primary Die Diameter,202,µm
Secondary Die Diameter,344,µm
Preform Diameter,28.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.6,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.27,mm
