Parameter Name,Value,Units
Draw Name,P0406.2F_1,
Draw Date,2024-01-11 12:00:00,
Process Setup Timestamp,2024-01-11 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,PM,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,1,bool
Iris Mode,Manual,
Selected Iris Diameter,37.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,OK,
Done Timestamp,2024-01-11 13:00:00,
Preform Number,P0406.2,
Order Notes,400 - PM,
Tension (g),30,g
Draw Speed (m/min),15,m/min
Tension Actual (g),34.74,g
Draw Speed Actual (m/min),15.14,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),400,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2090,°C
Preform Shape,PM,
Preform Diameter,27,mm
Total Fiber Length (m),891,m
Total Good Fiber Length (m),438,m
Cut 1,46,m
Good fiber 1,280,m
Cut 2,16,m
Good fiber 2,158,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),all,m
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.366,index/label
Zone 1 End,legacy_fibre_km=0.524,index/label
Good Zone 1 (km from end) Start,0.367,km
Good Zone 1 (km from end) End,0.525,km
Good Zone 1 Length,0.15800000000000003,km
Good Zone 1 Fibre Length Min,0.366,km
Good Zone 1 Fibre Length Max,0.524,km
Marked Zone 1 Avg - Bare Fibre Diameter,400.0,
Marked Zone 1 Min - Bare Fibre Diameter,400.0,
Marked Zone 1 Max - Bare Fibre Diameter,400.0,
Marked Zone 1 Avg - Furnace DegC Actual,2090.0,
Marked Zone 1 Min - Furnace DegC Actual,2090.0,
Marked Zone 1 Max - Furnace DegC Actual,2090.0,
Marked Zone 1 Avg - Capstan Speed,15.14,
Marked Zone 1 Min - Capstan Speed,15.14,
Marked Zone 1 Max - Capstan Speed,15.14,
Marked Zone 1 Avg - Tension N,34.74,g
Marked Zone 1 Min - Tension N,34.74,g
Marked Zone 1 Max - Tension N,34.74,g
Marked Zone 1 Avg - Pf Process Position,98.15,cm
Marked Zone 1 Min - Pf Process Position,81.0,cm
Marked Zone 1 Max - Pf Process Position,115.3,cm
Zone 2 Start,legacy_fibre_km=0.541,index/label
Zone 2 End,legacy_fibre_km=0.82,index/label
Good Zone 2 (km from end) Start,0.07100000000000006,km
Good Zone 2 (km from end) End,0.35,km
Good Zone 2 Length,0.2789999999999999,km
Good Zone 2 Fibre Length Min,0.541,km
Good Zone 2 Fibre Length Max,0.82,km
Marked Zone 2 Avg - Bare Fibre Diameter,400.0,
Marked Zone 2 Min - Bare Fibre Diameter,400.0,
Marked Zone 2 Max - Bare Fibre Diameter,400.0,
Marked Zone 2 Avg - Furnace DegC Actual,2090.0,
Marked Zone 2 Min - Furnace DegC Actual,2090.0,
Marked Zone 2 Max - Furnace DegC Actual,2090.0,
Marked Zone 2 Avg - Capstan Speed,15.14,
Marked Zone 2 Min - Capstan Speed,15.14,
Marked Zone 2 Max - Capstan Speed,15.14,
Marked Zone 2 Avg - Tension N,34.74,g
Marked Zone 2 Min - Tension N,34.74,g
Marked Zone 2 Max - Tension N,34.74,g
Marked Zone 2 Avg - Pf Process Position,149.32999999999998,cm
Marked Zone 2 Min - Pf Process Position,118.87,cm
Marked Zone 2 Max - Pf Process Position,179.79,cm
