Parameter Name,Value,Units
Draw Name,P0366F_1,
Draw Date,2023-02-14 12:00:00,
Process Setup Timestamp,2023-02-14 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,32.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,OK,
Done Timestamp,2023-02-14 13:00:00,
Preform Number,P0366,
Order Notes,250 -Test,
Tension (g),50-70,g
Draw Speed (m/min),30,m/min
Tension Actual (g),55-65,g
Draw Speed Actual (m/min),30,m/min
Fiber Diameter (µm),250,µm
Entry Fiber Diameter (µm),250,µm
Main Coating Diameter (µm),315,µm
Secondary Coating Diameter (µm),375,µm
Furnace DegC Set,1975,°C
Preform Shape,Round,
Preform Diameter,28,mm
Total Fiber Length (m),455,m
Total Good Fiber Length (m),455,m
Cut 1,86,m
Good fiber 1,455,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),500,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.0,index/label
Zone 1 End,legacy_fibre_km=0.455,index/label
Good Zone 1 (km from end) Start,0.0,km
Good Zone 1 (km from end) End,0.455,km
Good Zone 1 Length,0.455,km
Good Zone 1 Fibre Length Min,0.0,km
Good Zone 1 Fibre Length Max,0.455,km
Marked Zone 1 Avg - Bare Fibre Diameter,250.0,
Marked Zone 1 Min - Bare Fibre Diameter,250.0,
Marked Zone 1 Max - Bare Fibre Diameter,250.0,
Marked Zone 1 Avg - Furnace DegC Actual,1975.0,
Marked Zone 1 Min - Furnace DegC Actual,1975.0,
Marked Zone 1 Max - Furnace DegC Actual,1975.0,
Marked Zone 1 Avg - Capstan Speed,30.0,
Marked Zone 1 Min - Capstan Speed,30.0,
Marked Zone 1 Max - Capstan Speed,30.0,
Marked Zone 1 Avg - Tension N,55.0,g
Marked Zone 1 Min - Tension N,55.0,g
Marked Zone 1 Max - Tension N,55.0,g
Marked Zone 1 Avg - Pf Process Position,150.805,cm
Marked Zone 1 Min - Pf Process Position,136.6,cm
Marked Zone 1 Max - Pf Process Position,165.01,cm
