Parameter Name,Value,Units
Draw Name,P0343F_1,
Draw Date,2022-12-21 12:00:00,
Process Setup Timestamp,2022-12-21 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Octagonal,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,1,bool
Octagonal F2F (mm),24.91,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,31.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,OK,
Done Timestamp,2022-12-21 13:00:00,
Preform Number,P0343,
Order Notes,400 - Octa,
Tension (g),65,g
Draw Speed (m/min),30,m/min
Tension Actual (g),65,g
Draw Speed Actual (m/min),30,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),380,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2025,°C
Preform Shape,Octagonal,
Preform Diameter,24.91,mm
Total Fiber Length (m),1615,m
Total Good Fiber Length (m),789,m
Cut 1,16,m
Good fiber 1,789,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),all,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.81,index/label
Zone 1 End,legacy_fibre_km=1.599,index/label
Good Zone 1 (km from end) Start,0.016000000000000014,km
Good Zone 1 (km from end) End,0.8049999999999999,km
Good Zone 1 Length,0.7889999999999999,km
Good Zone 1 Fibre Length Min,0.81,km
Good Zone 1 Fibre Length Max,1.599,km
Marked Zone 1 Avg - Bare Fibre Diameter,380.0,
Marked Zone 1 Min - Bare Fibre Diameter,380.0,
Marked Zone 1 Max - Bare Fibre Diameter,380.0,
Marked Zone 1 Avg - Furnace DegC Actual,2025.0,
Marked Zone 1 Min - Furnace DegC Actual,2025.0,
Marked Zone 1 Max - Furnace DegC Actual,2025.0,
Marked Zone 1 Avg - Capstan Speed,30.0,
Marked Zone 1 Min - Capstan Speed,30.0,
Marked Zone 1 Max - Capstan Speed,30.0,
Marked Zone 1 Avg - Tension N,65.0,g
Marked Zone 1 Min - Tension N,65.0,g
Marked Zone 1 Max - Tension N,65.0,g
Marked Zone 1 Avg - Pf Process Position,269.265,cm
Marked Zone 1 Min - Pf Process Position,176.73,cm
Marked Zone 1 Max - Pf Process Position,361.8,cm
