Parameter Name,Value,Units
Draw Name,RodF_3,
Draw Date,2023-03-16 12:00:00,
Process Setup Timestamp,2023-03-16 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,32.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2023-03-16 13:00:00,
Preform Number,Rod,
Order Notes,400 - Calibration,
Tension (g),55-60,g
Draw Speed (m/min),30,m/min
Tension Actual (g),53,g
Draw Speed Actual (m/min),30.1,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),400,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2100,°C
Preform Shape,Round,
Preform Diameter,28,mm
Total Fiber Length (m),673,m
Total Good Fiber Length (m),230,m
Cut 1,24,m
Good fiber 1,230,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),-,m
Good Zones Count,0,count
Good Zones X Column,Fibre Length,
