Parameter Name,Value,Units
Draw Name,P0341F_1,
Draw Date,2022-12-19 12:00:00,
Process Setup Timestamp,2022-12-19 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Octagonal,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,1,bool
Octagonal F2F (mm),25.72,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,31.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,OK,
Done Timestamp,2022-12-19 13:00:00,
Preform Number,P0341,
Order Notes,400 - Octa,
Tension (g),60,g
Draw Speed (m/min),30,m/min
Tension Actual (g),60,g
Draw Speed Actual (m/min),30,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),391,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2020,°C
Preform Shape,Octagonal,
Preform Diameter,25.72,mm
Total Fiber Length (m),1730,m
Total Good Fiber Length (m),1085,m
Cut 1,55,m
Good fiber 1,1085,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),1000,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.591,index/label
Zone 1 End,legacy_fibre_km=1.675,index/label
Good Zone 1 (km from end) Start,0.05499999999999994,km
Good Zone 1 (km from end) End,1.139,km
Good Zone 1 Length,1.084,km
Good Zone 1 Fibre Length Min,0.591,km
Good Zone 1 Fibre Length Max,1.675,km
Marked Zone 1 Avg - Bare Fibre Diameter,391.0,
Marked Zone 1 Min - Bare Fibre Diameter,391.0,
Marked Zone 1 Max - Bare Fibre Diameter,391.0,
Marked Zone 1 Avg - Furnace DegC Actual,2020.0,
Marked Zone 1 Min - Furnace DegC Actual,2020.0,
Marked Zone 1 Max - Furnace DegC Actual,2020.0,
Marked Zone 1 Avg - Capstan Speed,30.0,
Marked Zone 1 Min - Capstan Speed,30.0,
Marked Zone 1 Max - Capstan Speed,30.0,
Marked Zone 1 Avg - Tension N,60.0,g
Marked Zone 1 Min - Tension N,60.0,g
Marked Zone 1 Max - Tension N,60.0,g
Marked Zone 1 Avg - Pf Process Position,320.605,cm
Marked Zone 1 Min - Pf Process Position,185.37,cm
Marked Zone 1 Max - Pf Process Position,455.84,cm
