Parameter Name,Value,Units
Draw Name,G014F_1,
Draw Date,2024-07-07 12:00:00,
Process Setup Timestamp,2024-07-07 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,24.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2024-07-07 13:00:00,
Preform Number,G014,
Order Notes,125,
Tension (g),40,g
Draw Speed (m/min),30,m/min
Tension Actual (g),43.31,g
Draw Speed Actual (m/min),29.45,m/min
Fiber Diameter (µm),125,µm
Entry Fiber Diameter (µm),125,µm
Main Coating Diameter (µm),167,µm
Secondary Coating Diameter (µm),260,µm
Furnace DegC Set,2060,°C
Preform Shape,Round,
Preform Diameter,18.8,mm
Total Fiber Length (m),4930,m
Total Good Fiber Length (m),2470,m
Cut 1,181,m
Good fiber 1,2470,m
Required Length (m) (for T&M+costumer),2000,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=2.261,index/label
Zone 1 End,legacy_fibre_km=4.73,index/label
Good Zone 1 (km from end) Start,0.1999999999999993,km
Good Zone 1 (km from end) End,2.6689999999999996,km
Good Zone 1 Length,2.4690000000000003,km
Good Zone 1 Fibre Length Min,2.261,km
Good Zone 1 Fibre Length Max,4.73,km
Marked Zone 1 Avg - Bare Fibre Diameter,125.0,
Marked Zone 1 Min - Bare Fibre Diameter,125.0,
Marked Zone 1 Max - Bare Fibre Diameter,125.0,
Marked Zone 1 Avg - Furnace DegC Actual,2060.0,
Marked Zone 1 Min - Furnace DegC Actual,2060.0,
Marked Zone 1 Max - Furnace DegC Actual,2060.0,
Marked Zone 1 Avg - Capstan Speed,29.45,
Marked Zone 1 Min - Capstan Speed,29.45,
Marked Zone 1 Max - Capstan Speed,29.45,
Marked Zone 1 Avg - Tension N,43.31,g
Marked Zone 1 Min - Tension N,43.31,g
Marked Zone 1 Max - Tension N,43.31,g
Marked Zone 1 Avg - Pf Process Position,185.75,cm
Marked Zone 1 Min - Pf Process Position,130.1,cm
Marked Zone 1 Max - Pf Process Position,241.4,cm
