Parameter Name,Value,Units
Draw Name,RodF_4,
Draw Date,2023-03-21 12:00:00,
Process Setup Timestamp,2023-03-21 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,PM,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,1,bool
Iris Mode,Manual,
Selected Iris Diameter,35.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2023-03-21 13:00:00,
Preform Number,Rod,
Order Notes,400 - PM - RunTest,
Tension (g),30-40,g
Draw Speed (m/min),15,m/min
Tension Actual (g),40,g
Draw Speed Actual (m/min),14.7,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),400,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2090,°C
Preform Shape,Round,
Preform Diameter,22,mm
Total Fiber Length (m),458,m
Total Good Fiber Length (m),300,m
Cut 1,-,m
Good fiber 1,300,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),100,m
Good Zones Count,0,count
Good Zones X Column,Fibre Length,
