Parameter Name,Value,Units
Draw Name,P0409F_1,
Draw Date,2024-02-13 12:00:00,
Process Setup Timestamp,2024-02-13 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,PM,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,1,bool
Iris Mode,Manual,
Selected Iris Diameter,37.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2024-02-13 13:00:00,
Preform Number,P0409,
Order Notes,400 - PM,
Tension (g),28.5,g
Draw Speed (m/min),14,m/min
Tension Actual (g),29.73,g
Draw Speed Actual (m/min),13.8,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),400,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2100,°C
Preform Shape,PM,
Preform Diameter,27.55,mm
Total Fiber Length (m),919,m
Total Good Fiber Length (m),663,m
Cut 1,26,m
Good fiber 1,663,m
Cut 2,-,m
Good fiber 2,0,m
Cut 3,-,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),all,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.153,index/label
Zone 1 End,legacy_fibre_km=0.816,index/label
Good Zone 1 (km from end) Start,0.10300000000000009,km
Good Zone 1 (km from end) End,0.766,km
Good Zone 1 Length,0.6629999999999999,km
Good Zone 1 Fibre Length Min,0.153,km
Good Zone 1 Fibre Length Max,0.816,km
Marked Zone 1 Avg - Bare Fibre Diameter,400.0,
Marked Zone 1 Min - Bare Fibre Diameter,400.0,
Marked Zone 1 Max - Bare Fibre Diameter,400.0,
Marked Zone 1 Avg - Furnace DegC Actual,2100.0,
Marked Zone 1 Min - Furnace DegC Actual,2100.0,
Marked Zone 1 Max - Furnace DegC Actual,2100.0,
Marked Zone 1 Avg - Capstan Speed,13.8,
Marked Zone 1 Min - Capstan Speed,13.8,
Marked Zone 1 Max - Capstan Speed,13.8,
Marked Zone 1 Avg - Tension N,29.73,g
Marked Zone 1 Min - Tension N,29.73,g
Marked Zone 1 Max - Tension N,29.73,g
Marked Zone 1 Avg - Pf Process Position,118.80000000000001,cm
Marked Zone 1 Min - Pf Process Position,47.95,cm
Marked Zone 1 Max - Pf Process Position,189.65,cm
