Parameter Name,Value,Units
Draw Name,RodF_6,
Draw Date,2023-09-27 12:00:00,
Process Setup Timestamp,2023-09-27 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,30.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2023-09-27 13:00:00,
Preform Number,Rod,
Order Notes,400 - Run Test,
Tension (g),60,g
Draw Speed (m/min),20,m/min
Tension Actual (g),58,g
Draw Speed Actual (m/min),20.6,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),400,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2080,°C
Preform Shape,Round,
Preform Diameter,25.67,mm
Total Fiber Length (m),1420,m
Total Good Fiber Length (m),802,m
Cut 1,19,m
Good fiber 1,802,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),800,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.031,index/label
Zone 1 End,legacy_fibre_km=0.833,index/label
Good Zone 1 (km from end) Start,0.587,km
Good Zone 1 (km from end) End,1.389,km
Good Zone 1 Length,0.802,km
Good Zone 1 Fibre Length Min,0.031,km
Good Zone 1 Fibre Length Max,0.833,km
Marked Zone 1 Avg - Bare Fibre Diameter,400.0,
Marked Zone 1 Min - Bare Fibre Diameter,400.0,
Marked Zone 1 Max - Bare Fibre Diameter,400.0,
Marked Zone 1 Avg - Furnace DegC Actual,2080.0,
Marked Zone 1 Min - Furnace DegC Actual,2080.0,
Marked Zone 1 Max - Furnace DegC Actual,2080.0,
Marked Zone 1 Avg - Capstan Speed,20.6,
Marked Zone 1 Min - Capstan Speed,20.6,
Marked Zone 1 Max - Capstan Speed,20.6,
Marked Zone 1 Avg - Tension N,58.0,g
Marked Zone 1 Min - Tension N,58.0,g
Marked Zone 1 Max - Tension N,58.0,g
Marked Zone 1 Avg - Pf Process Position,267.99,cm
Marked Zone 1 Min - Pf Process Position,180.77,cm
Marked Zone 1 Max - Pf Process Position,355.21,cm
